Model,Threshold,Accuracy,Precision,Recall,F1-Score,AUC-ROC
Bagging_LR,0.5,0.5977,0.6042,0.6444,0.6237,0.5685
LR,0.5,0.569,0.5758,0.6333,0.6032,0.5669
GaussianNB,0.5,0.5517,0.5667,0.5667,0.5667,0.5656
VotingEnsemble,0.5,0.5632,0.5714,0.6222,0.5957,0.5589
ExtraTrees,0.5,0.523,0.5376,0.5556,0.5464,0.5554
SVM_RBF,0.5,0.5517,0.5612,0.6111,0.5851,0.5538
SVM_Linear,0.5,0.5,0.5109,0.7778,0.6167,0.5475
RandomForest,0.5,0.523,0.5368,0.5667,0.5514,0.5429
GradientBoosting,0.5,0.523,0.5376,0.5556,0.5464,0.5304
LDA,0.5,0.5172,0.5203,0.8556,0.6471,0.5213
DecisionTree,0.5,0.5172,0.5349,0.5111,0.5227,0.5206
KNN,0.5,0.5057,0.5222,0.5222,0.5222,0.5184
MLP,0.5,0.5057,0.5357,0.3333,0.411,0.5143
